timestamps population node_ids
475155.31889014354 exc_stim 7
551703.8462924229 exc_stim 21
681219.2435053556 exc_stim 39
569739.5359946572 exc_stim 50
440289.2873275129 exc_stim 84
390626.4864713427 exc_stim 91
877975.1065770506 exc_stim 111
696432.5824140619 exc_stim 124
39332.5818996881 exc_stim 125
958557.7064351389 exc_stim 126
798509.4813999389 exc_stim 127
571337.8933430811 exc_stim 146
987627.539164702 exc_stim 149
880915.3068689455 exc_stim 153
390205.4150834058 exc_stim 160
483897.0990768875 exc_stim 170
116602.72400512318 exc_stim 184
452613.0504858412 exc_stim 200
323699.93227180076 exc_stim 207
73289.27418486009 exc_stim 217
513023.72430133756 exc_stim 226
258804.49878089526 exc_stim 228
4791.194603476169 exc_stim 230
104819.9808030646 exc_stim 232
413694.6807275508 exc_stim 232
983706.6965762371 exc_stim 235
274282.9941129802 exc_stim 241
632012.4841628025 exc_stim 249
577886.0852324226 exc_stim 256
111053.01116665895 exc_stim 270
364182.2158292379 exc_stim 306
379967.67628967133 exc_stim 308
814275.4856373625 exc_stim 311
413865.3287354207 exc_stim 318
802133.2411229989 exc_stim 318
868405.296462797 exc_stim 320
830277.0196844361 exc_stim 322
399888.340825607 exc_stim 325
539303.1986385714 exc_stim 345
118917.41764593903 exc_stim 374
136740.44512754594 exc_stim 390
577879.5283340962 exc_stim 392
897896.5983709096 exc_stim 409
408602.32320302515 exc_stim 420
728594.6326516481 exc_stim 427
661365.0733951544 exc_stim 447
276311.8916749362 exc_stim 455
519845.8651012305 exc_stim 455
683678.2941679396 exc_stim 456
816718.0839045545 exc_stim 469
808161.1280983192 exc_stim 470
137060.67508438867 exc_stim 495
241194.11515323006 exc_stim 495
702742.2619623229 exc_stim 506
476737.9639552281 exc_stim 524
874875.6572498113 exc_stim 532
223065.2386744617 exc_stim 554
330347.9323959752 exc_stim 581
409789.37968475797 exc_stim 593
787653.8996562822 exc_stim 600
953311.7789939771 exc_stim 604
5683.46534535236 exc_stim 624
763916.2602058976 exc_stim 627
979420.0307417484 exc_stim 638
494724.7845421028 exc_stim 648
572073.5343515783 exc_stim 651
283389.36878243485 exc_stim 652
198233.22968853184 exc_stim 656
817105.0580836529 exc_stim 656
416054.9999424477 exc_stim 659
561051.6519209472 exc_stim 659
799733.6128799889 exc_stim 675
992171.7200090701 exc_stim 678
731569.5173483773 exc_stim 685
716450.9211043122 exc_stim 691
927912.3077347877 exc_stim 708
824520.9644327498 exc_stim 709
514317.75987228286 exc_stim 711
830667.1227613839 exc_stim 713
78786.83460434755 exc_stim 725
308429.5262373017 exc_stim 725
715149.7638028068 exc_stim 729
23142.96035994723 exc_stim 749
84000.8558387577 exc_stim 768
654905.6874370669 exc_stim 785
61578.19848481674 exc_stim 819
287108.3406900519 exc_stim 822
206113.60689065594 exc_stim 824
842223.3702947791 exc_stim 830
204564.81163233452 exc_stim 836
68121.51367645839 exc_stim 839
35609.390441842064 exc_stim 846
810672.415561714 exc_stim 848
397586.00506217545 exc_stim 858
294248.61036525486 exc_stim 881
904851.8465238239 exc_stim 909
662675.7369525572 exc_stim 917
877500.1680976471 exc_stim 923
116054.1133772534 exc_stim 943
253766.46561084857 exc_stim 953
565104.1305078563 exc_stim 960
750540.4221879864 exc_stim 964
996619.8451768706 exc_stim 967
888573.1034931684 exc_stim 974
636468.4497599376 exc_stim 975
2707.040334176635 exc_stim 979
982148.9594624277 exc_stim 983
322727.9228943942 exc_stim 1004
310620.3073156168 exc_stim 1020
561502.1073866824 exc_stim 1022
355982.1860912386 exc_stim 1026
466855.6221207388 exc_stim 1054
557763.1736514742 exc_stim 1060
981479.824535471 exc_stim 1065
478743.4764295021 exc_stim 1070
109976.01047613924 exc_stim 1077
146882.72410080937 exc_stim 1084
188157.03966834044 exc_stim 1090
552716.0481019594 exc_stim 1093
212963.67708080215 exc_stim 1098
118769.47654324776 exc_stim 1106
677878.4356103502 exc_stim 1153
891703.154325749 exc_stim 1166
672121.6456138212 exc_stim 1176
887959.4209056811 exc_stim 1176
680252.3570953018 exc_stim 1198
667147.2953549786 exc_stim 1203
636810.9751605139 exc_stim 1205
947022.9114463707 exc_stim 1206
365468.4330903642 exc_stim 1213
308303.78165595216 exc_stim 1222
756283.6162417496 exc_stim 1224
626161.7482300594 exc_stim 1231
447924.28171895666 exc_stim 1235
368388.12657022296 exc_stim 1241
719971.5573987584 exc_stim 1248
208135.9185180117 exc_stim 1250
406083.53071558365 exc_stim 1261
19430.233013494344 exc_stim 1282
396572.0539927237 exc_stim 1282
835338.9894674463 exc_stim 1284
745419.9481040213 exc_stim 1295
834334.8430941952 exc_stim 1316
255571.24240106947 exc_stim 1344
587077.736300536 exc_stim 1348
415800.16585464374 exc_stim 1366
482839.00213085464 exc_stim 1366
101598.17248346005 exc_stim 1367
873071.141202175 exc_stim 1367
511995.30515446153 exc_stim 1381
730680.9979344885 exc_stim 1383
907634.4846284435 exc_stim 1395
182071.1100843026 exc_stim 1398
871648.6439333837 exc_stim 1398
682336.6344121392 exc_stim 1404
701498.3317191309 exc_stim 1430
223556.07389133796 exc_stim 1436
651184.3647329244 exc_stim 1442
460370.37547545513 exc_stim 1443
484159.54261595657 exc_stim 1452
245250.70669644934 exc_stim 1478
653100.9510991527 exc_stim 1504
714238.9661568993 exc_stim 1510
490137.41312704614 exc_stim 1520
659686.8958798753 exc_stim 1522
543846.1825160461 exc_stim 1525
310016.21887507563 exc_stim 1536
491473.9913962829 exc_stim 1550
635313.4178293524 exc_stim 1551
137109.7727991155 exc_stim 1561
845243.1301943945 exc_stim 1569
396526.8717087997 exc_stim 1585
710012.4753428674 exc_stim 1590
973701.7212155482 exc_stim 1596
521312.7541127676 exc_stim 1599
984668.8754901054 exc_stim 1599
950620.2716058007 exc_stim 1609
723972.6397098751 exc_stim 1612
69159.420295862 exc_stim 1620
452848.1536573396 exc_stim 1630
829742.9667333466 exc_stim 1654
801269.1010126338 exc_stim 1675
4967.101914386548 exc_stim 1683
111367.16558866405 exc_stim 1685
211481.92911532565 exc_stim 1689
112882.17575616545 exc_stim 1695
499979.09577411425 exc_stim 1703
222121.7833955089 exc_stim 1722
816886.9642611135 exc_stim 1739
612410.0393847638 exc_stim 1744
710904.4128812228 exc_stim 1752
560662.1477327369 exc_stim 1770
911047.6863499443 exc_stim 1771
369236.876408728 exc_stim 1782
